WC,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,tensem,focuspast,focuspresent,focusfuture,progm,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji,row_index
16100,104.55,0.5,61.63,36.36,4.79,2.95,1.78,0.45,0.36,0.23,0.12,0.01,1.84,3.65,4.69,9.5,2.34,1.84,0.88,1.57,0.53,8.04,0.82,7.22,4.58,0.91,5.42,1.72,5.83,3.66,1.49,0.19,0.23,0.14,5.65,0.48,0.42,0.26,0.15,11.91,3.55,1.3,2.37,2.43,2.34,1.84,2.63,1.02,0.61,0.31,1.8,0.72,0.3,0.11,0.72,5.98,1.71,1.32,1.98,0.93,0.75,3.89,0.43,0.53,1.22,1.77,12.38,4.37,4.99,6.56,2.17,1.24,0.25,0.45,0.16,0.12,5.17,0.12,0.61,3.4,0.32,1.01,25.25,1.25,1.53,0.0,0.02,3.11,19.35,2.22,0
7272,346.29,0.33,60.27,39.14,6.22,3.7,1.87,0.43,1.11,0.26,0.01,0.01,2.52,3.2,4.55,10.82,2.28,1.6,0.45,1.2,0.78,9.27,1.46,7.81,3.89,0.74,2.12,1.77,7.62,5.38,1.22,0.18,0.1,0.21,6.38,0.25,0.61,0.15,0.14,13.31,4.47,1.17,2.3,2.39,3.01,1.58,2.31,0.92,0.77,0.33,1.84,0.33,0.96,0.07,0.5,6.67,2.02,1.36,1.77,1.72,0.56,4.79,0.52,0.51,1.11,2.74,11.58,3.88,4.24,6.67,1.61,2.15,0.07,0.28,0.17,0.11,7.03,0.07,0.22,5.69,0.48,0.94,29.88,0.43,1.71,0.04,0.55,3.47,23.69,2.23,1
2824,941.33,0.18,69.83,45.54,7.58,6.23,3.65,0.25,1.38,0.85,0.11,0.0,1.35,2.94,5.7,12.36,2.44,2.3,1.2,1.35,0.78,10.52,2.27,8.25,4.39,0.99,3.51,1.66,8.57,6.3,1.63,0.28,0.11,0.14,8.39,0.67,0.35,0.53,0.07,14.59,5.38,1.03,3.05,2.37,2.87,2.23,3.65,1.38,0.92,0.28,3.29,0.78,0.25,0.74,1.7,6.44,1.88,1.17,1.45,2.09,0.74,6.52,0.74,1.35,1.42,3.12,11.69,3.33,3.36,7.37,1.31,1.42,0.14,0.85,0.42,0.07,9.56,0.0,0.64,7.26,1.13,1.52,20.79,0.21,5.03,0.0,0.0,10.06,5.49,7.12,2
3123,24.59,22.86,21.13,10.63,1.63,1.22,0.29,0.06,0.67,0.16,0.03,0.0,0.42,0.99,1.28,2.72,0.61,0.58,0.48,0.22,0.29,2.27,0.48,1.79,0.99,0.29,2.18,0.45,3.65,2.75,0.58,0.0,0.03,0.03,2.37,0.1,0.19,0.03,0.06,2.88,0.8,0.19,0.93,0.67,0.48,0.54,0.86,0.26,0.22,0.1,1.57,0.45,0.26,0.19,0.8,1.47,0.58,0.19,0.32,0.26,0.16,0.9,0.06,0.1,0.42,0.35,2.95,0.83,1.09,1.44,0.32,0.26,0.03,0.35,0.06,0.0,2.82,0.13,0.96,1.15,0.16,0.48,66.44,3.01,8.04,0.03,1.7,14.6,39.07,3.2,3
1114,278.5,0.27,57.72,33.12,3.77,2.33,1.89,0.09,0.09,0.09,0.18,0.0,1.44,3.32,5.39,9.07,2.42,2.24,0.63,0.9,0.27,7.18,1.53,5.66,4.22,0.81,1.97,1.44,6.37,3.41,1.97,0.18,0.09,0.27,3.77,0.27,0.54,0.27,0.45,11.76,3.59,0.99,3.95,2.6,1.97,2.06,4.4,1.44,0.27,1.26,5.12,0.63,0.27,0.72,3.5,4.85,1.53,0.9,0.9,1.26,0.81,4.04,0.9,0.45,1.08,1.8,10.86,3.59,4.04,5.39,1.35,2.87,0.72,1.26,0.0,0.0,6.46,0.0,1.08,4.76,0.18,0.72,42.01,2.6,8.08,0.0,0.27,16.43,14.63,1.17,4
1252,417.33,1.12,51.6,24.36,1.28,0.72,0.64,0.0,0.08,0.0,0.0,0.0,0.56,1.76,2.32,7.35,1.92,1.84,4.47,0.48,0.08,4.31,0.16,4.15,2.4,0.4,4.55,2.32,7.67,4.95,2.32,0.32,0.08,0.4,2.8,0.16,0.24,0.16,0.0,10.46,2.96,1.36,1.36,2.16,1.84,1.92,3.59,0.64,0.08,1.44,4.31,3.35,0.88,0.08,0.48,6.79,0.72,2.64,2.48,2.0,0.4,2.08,0.16,0.16,0.96,0.8,11.9,3.12,4.55,5.67,1.6,0.88,0.16,0.4,0.0,0.0,3.19,0.0,0.4,2.48,0.0,0.48,19.81,0.4,1.52,0.0,0.0,3.19,14.7,4.55,5
408,68.0,5.64,48.53,28.19,3.43,1.96,1.47,0.0,0.49,0.0,0.0,0.0,1.47,2.45,3.92,8.33,1.96,2.7,1.23,0.0,0.98,4.9,1.47,3.43,3.92,0.74,3.92,1.72,5.88,2.94,2.45,0.49,0.74,0.0,3.92,0.0,0.25,0.0,0.0,10.05,2.21,0.98,1.23,2.94,2.21,2.45,4.41,1.47,1.96,0.0,0.98,0.0,0.25,0.0,0.74,4.66,0.49,0.74,0.98,0.49,1.96,3.43,0.98,0.49,1.23,0.98,9.31,1.96,3.19,4.66,0.74,0.74,0.0,0.0,0.49,0.25,5.64,0.98,0.49,2.45,0.98,1.23,44.61,5.15,11.27,0.25,0.0,20.59,7.35,1.47,6
2808,234.0,0.68,63.25,38.46,4.42,2.71,1.78,0.21,0.5,0.21,0.0,0.0,1.71,3.88,4.49,11.22,3.31,1.71,0.61,1.46,0.39,8.23,1.57,6.66,4.31,1.1,2.81,1.99,7.73,5.38,1.42,0.25,0.07,0.36,4.56,0.21,0.25,0.04,0.04,13.43,4.52,1.46,2.24,3.13,2.64,1.78,3.42,1.03,1.1,0.43,2.35,0.68,0.53,0.04,1.14,4.81,0.75,1.28,1.42,1.67,0.53,4.95,0.93,0.64,1.46,2.07,12.96,4.06,4.95,7.16,2.17,2.03,0.5,0.28,0.21,0.21,6.27,0.07,0.53,4.74,0.57,0.89,23.43,0.5,3.17,0.0,0.0,6.3,13.46,4.88,7
368,40.89,0.82,49.18,29.35,3.53,2.45,1.09,0.27,0.54,0.54,0.0,0.0,1.09,2.45,4.62,7.34,1.9,1.09,1.63,2.17,0.27,4.89,0.82,4.08,2.72,0.0,1.36,1.09,4.08,3.26,0.54,0.0,0.54,0.0,2.72,0.0,0.0,0.0,0.0,10.05,4.08,0.82,2.17,1.63,1.63,1.09,1.36,0.54,0.54,0.0,1.36,0.27,0.0,0.0,1.09,5.16,0.54,0.82,2.72,1.09,0.27,4.62,1.63,1.36,0.27,1.63,14.13,2.99,7.61,7.07,1.63,0.82,1.09,0.82,0.27,0.54,4.62,0.0,1.09,2.99,1.09,0.27,69.57,1.63,16.3,0.54,0.0,33.15,17.93,10.87,8
2819,148.37,1.28,59.81,36.82,4.01,2.55,1.49,0.46,0.39,0.07,0.07,0.07,1.45,3.55,4.54,10.61,3.05,1.6,0.92,1.14,0.57,8.09,0.89,7.2,4.51,1.17,5.18,2.02,7.31,4.93,1.49,0.14,0.18,0.25,4.4,0.07,0.25,0.07,0.04,12.77,4.19,1.31,2.52,2.77,2.63,1.42,2.84,0.78,0.64,0.28,1.92,0.32,0.28,0.11,1.28,5.57,1.74,1.53,0.85,1.81,0.53,4.93,0.67,0.78,1.35,2.27,11.25,3.48,4.97,6.39,1.45,1.56,0.39,0.21,0.11,0.32,5.71,0.07,0.35,4.61,0.18,0.71,30.15,0.92,4.22,0.0,0.0,8.73,16.28,6.95,9
