row_index,WC,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,tensem,focuspast,focuspresent,focusfuture,progm,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
0,835,75.91,0.0,58.92,37.13,6.35,4.43,2.99,0.24,0.72,0.48,0.0,0.0,1.92,3.59,6.47,7.43,1.08,2.99,0.48,1.56,0.24,9.34,1.44,7.9,4.31,0.72,2.99,1.44,5.51,3.11,1.56,0.24,0.36,0.12,6.71,0.6,0.48,0.48,0.0,12.1,3.47,1.56,3.71,2.28,2.99,1.56,3.59,1.32,0.96,0.12,2.16,0.36,0.12,0.0,1.68,6.11,1.2,1.56,2.4,1.08,0.96,3.47,0.0,0.6,1.2,1.68,9.46,3.47,3.83,4.79,1.44,0.12,0.36,0.84,0.12,0.12,5.15,0.12,0.6,3.95,0.12,0.6,33.41,1.2,7.31,0.0,0.12,14.61,10.18,4.79
1,108,108.0,8.33,62.04,42.59,12.04,11.11,3.7,0.93,5.56,0.93,0.0,0.0,0.93,2.78,4.63,4.63,0.0,0.93,0.0,1.85,0.0,16.67,12.04,4.63,3.7,0.0,9.26,0.93,2.78,1.85,0.93,0.0,0.0,0.0,7.41,0.0,0.0,0.0,0.0,6.48,2.78,0.0,0.93,0.93,1.85,0.93,4.63,1.85,0.0,0.93,5.56,1.85,0.93,0.0,2.78,3.7,0.93,0.0,0.93,0.0,1.85,4.63,0.0,0.0,1.85,2.78,4.63,2.78,2.78,1.85,0.0,0.93,0.0,0.93,0.0,0.0,8.33,0.0,0.0,7.41,1.85,1.85,101.85,2.78,22.22,0.0,0.0,48.15,28.7,3.7
2,833,416.5,0.12,69.15,46.1,9.6,8.4,4.08,0.24,2.4,1.68,0.0,0.0,1.2,2.52,6.6,12.12,1.8,1.92,0.84,2.16,1.08,9.24,1.92,7.32,5.4,1.08,1.8,1.08,9.36,7.44,1.2,0.12,0.0,0.24,12.12,0.6,0.6,0.0,0.0,13.81,6.24,0.96,3.12,2.52,1.56,2.16,4.8,1.92,1.44,0.36,3.84,1.44,0.24,1.08,1.32,7.8,2.88,1.44,1.2,2.16,0.6,7.2,1.2,1.08,1.8,3.24,10.08,3.12,3.96,6.6,2.04,1.44,0.48,0.48,0.36,0.0,9.36,0.0,0.0,7.8,0.72,0.96,25.09,0.48,5.88,0.0,0.0,12.0,6.72,5.64
3,439,48.78,2.05,60.59,40.77,6.15,4.1,0.91,0.0,2.05,1.14,0.0,0.0,2.05,3.87,5.24,10.71,2.28,1.82,1.14,0.91,1.14,8.88,2.73,6.15,3.42,1.59,1.37,1.14,7.52,3.87,2.51,0.0,0.23,0.23,8.2,0.23,0.0,0.0,0.23,12.98,3.87,0.91,4.33,3.64,1.82,1.59,2.05,0.46,0.68,0.46,2.05,0.91,0.46,0.23,0.68,4.56,0.91,0.68,1.82,1.14,0.23,2.73,0.0,0.0,1.37,1.37,10.25,3.19,3.64,3.87,1.37,0.68,0.0,1.37,0.0,0.0,8.43,0.91,0.91,4.78,0.46,1.59,39.86,1.59,10.02,0.23,0.0,20.96,7.06,2.73
4,581,290.5,0.0,62.13,40.1,5.16,3.1,2.75,0.0,0.0,0.0,0.34,0.0,2.07,3.79,7.23,9.81,3.27,3.1,0.69,0.86,0.34,8.78,2.07,6.71,4.99,1.03,1.72,1.2,5.51,2.07,1.72,0.17,0.0,0.34,3.79,0.34,0.52,0.17,0.52,14.97,4.99,1.72,5.85,3.96,2.07,2.24,3.44,0.86,0.17,1.72,3.44,0.86,0.17,0.52,1.89,3.96,1.2,0.69,1.03,0.52,0.69,5.51,1.38,0.52,1.55,2.41,11.7,3.96,4.48,5.51,0.69,2.07,0.69,2.07,0.0,0.0,7.06,0.0,1.38,4.82,0.34,1.2,33.22,1.03,7.23,0.0,0.52,14.63,9.81,0.52
6,316,105.33,6.96,46.84,28.48,3.16,2.53,1.9,0.0,0.63,0.0,0.0,0.0,0.63,2.85,3.8,7.91,1.58,2.53,1.58,0.0,0.95,5.38,1.27,4.11,3.8,0.95,1.27,1.27,6.01,2.53,2.85,0.63,0.95,0.0,4.11,0.0,0.32,0.0,0.0,8.86,2.22,1.27,0.95,2.53,1.58,2.22,5.06,1.58,2.22,0.0,1.27,0.0,0.32,0.0,0.95,5.06,0.63,0.95,0.95,0.63,1.9,3.48,0.95,0.32,1.27,1.27,9.81,2.22,3.48,4.75,0.63,0.63,0.0,0.0,0.32,0.0,6.01,1.27,0.63,2.53,0.32,0.95,40.82,3.48,11.39,0.32,0.0,20.89,4.75,0.95
7,1162,166.0,0.26,66.7,43.2,5.42,3.61,2.5,0.09,0.6,0.43,0.0,0.0,1.81,3.61,5.94,12.65,4.3,2.24,0.43,1.46,0.34,8.43,2.32,6.11,4.3,1.29,1.12,1.81,8.69,6.11,1.72,0.34,0.0,0.34,4.73,0.26,0.43,0.09,0.0,16.52,6.02,1.98,2.84,3.44,3.36,2.15,4.39,0.95,1.55,0.69,3.44,0.86,0.52,0.09,2.07,4.48,0.6,0.86,1.2,1.55,0.52,5.59,0.77,0.52,1.64,2.84,11.96,3.79,4.56,7.06,1.46,2.84,0.43,0.52,0.43,0.34,8.18,0.09,0.77,6.2,0.52,1.03,19.88,0.69,4.3,0.0,0.0,8.78,6.11,4.22
8,155,17.22,1.29,51.61,28.39,3.23,3.23,0.65,0.65,1.29,0.65,0.0,0.0,0.0,2.58,5.16,7.1,0.65,1.29,1.94,2.58,0.65,3.87,0.65,3.23,4.52,0.0,1.94,0.65,0.65,0.65,0.0,0.0,0.0,0.0,3.87,0.0,0.0,0.0,0.0,11.61,5.81,1.29,1.94,2.58,0.0,1.94,1.94,0.65,1.29,0.0,1.94,0.65,0.0,0.0,1.29,5.16,1.29,1.29,2.58,0.65,0.0,4.52,1.94,0.65,0.65,1.29,12.26,3.87,8.39,4.52,2.58,0.65,1.94,0.0,0.0,0.0,5.16,0.0,2.58,1.94,1.29,0.0,80.65,3.87,21.29,1.29,0.0,42.58,11.61,3.23
9,686,38.11,1.31,59.33,34.4,4.23,3.5,2.48,0.0,0.58,0.15,0.29,0.0,0.73,3.64,4.81,10.5,2.48,1.46,0.44,0.87,0.87,6.41,0.73,5.69,4.08,1.75,5.69,1.6,6.71,4.23,1.75,0.29,0.29,0.29,3.35,0.15,0.29,0.15,0.15,10.64,4.08,1.46,2.48,2.33,1.9,1.17,4.52,0.44,0.87,0.58,4.81,0.58,0.29,0.0,4.08,4.37,0.44,0.73,0.58,2.04,0.58,4.96,0.58,0.87,1.46,2.33,9.91,2.92,3.64,5.54,0.73,0.73,0.73,0.44,0.29,0.58,7.0,0.15,0.87,5.25,0.29,0.58,38.19,2.48,7.58,0.0,0.0,15.6,12.54,8.6
10,587,29.35,0.85,73.59,48.38,8.35,6.47,4.09,0.17,2.04,0.17,0.0,0.0,1.87,4.77,7.16,12.61,1.87,4.26,1.02,1.19,2.39,8.35,3.07,5.28,6.81,2.21,5.11,1.53,7.5,4.09,2.39,0.34,0.51,0.17,7.16,0.34,0.34,0.17,0.0,14.14,4.43,0.85,5.45,3.07,1.7,1.7,5.62,0.51,2.56,0.51,2.21,0.68,0.0,0.0,1.53,4.43,0.51,1.19,1.36,0.85,1.02,5.11,1.19,0.85,1.19,1.87,11.58,3.75,5.45,6.13,1.7,1.19,0.34,0.68,0.17,0.0,7.5,0.0,0.51,4.43,0.68,1.36,37.65,3.58,8.52,0.0,0.0,17.55,8.01,2.39
